id,timestamp,frame_id,plate_text
1,2025-09-27 10:03:07,0,NWRU
2,2025-09-27 10:03:08,2,NWU
3,2025-09-27 10:03:08,3,N3NRU
4,2025-09-27 10:03:08,4,NHU
5,2025-09-27 10:03:09,5,MEJ
6,2025-09-27 10:03:09,6,HF
7,2025-09-27 10:03:09,6,QHRU
8,2025-09-27 10:03:09,7,MJSISU
9,2025-09-27 10:03:10,8,MHRU
10,2025-09-27 10:03:10,8,MFSIU
11,2025-09-27 10:03:10,9,N3HRU
12,2025-09-27 10:03:10,9,MFJ
13,2025-09-27 10:03:11,10,NJMRU
14,2025-09-27 10:03:11,10,MFISU
15,2025-09-27 10:03:12,13,MENS
16,2025-09-27 10:03:12,13,NAHRU
17,2025-09-27 10:03:12,14,NHRU
18,2025-09-27 10:03:12,14,MSISU
19,2025-09-27 10:03:12,15,NHRU
20,2025-09-27 10:03:13,15,MS
21,2025-09-27 10:03:13,16,MFE
22,2025-09-27 10:03:13,16,N2HRU
23,2025-09-27 10:03:14,18,MUSISU
24,2025-09-27 10:03:14,18,NMRU
25,2025-09-27 10:03:15,19,WSIS
26,2025-09-27 10:03:15,20,HMRU
27,2025-09-27 10:03:15,20,MUSIS
28,2025-09-27 10:03:16,21,MSISU
29,2025-09-27 10:03:16,21,NMRU
30,2025-09-27 10:03:17,22,M
31,2025-09-27 10:03:17,23,WUSISU
32,2025-09-27 10:03:17,24,MUSISU
33,2025-09-27 10:03:18,24,HJMRU
34,2025-09-27 10:03:18,25,MSIUU
35,2025-09-27 10:03:18,25,HAIJNRU
36,2025-09-27 10:03:18,26,HADNRU
37,2025-09-27 10:03:19,27,MUSINSU
38,2025-09-27 10:03:19,28,WS
39,2025-09-27 10:03:19,29,NAIJNRU
40,2025-09-27 10:03:19,29,MUSISU
41,2025-09-27 10:03:20,30,WS
42,2025-09-27 10:03:20,30,MAIDNRU
43,2025-09-27 10:03:20,31,W
44,2025-09-27 10:03:20,31,NAIJNRU
45,2025-09-27 10:03:21,32,WSISU
46,2025-09-27 10:03:21,32,NAIJNRU
47,2025-09-27 10:03:21,33,MILSU
48,2025-09-27 10:03:21,33,HAIJNRU
49,2025-09-27 10:03:22,34,MSISU
50,2025-09-27 10:03:22,34,RAIINRU
51,2025-09-27 10:03:22,35,MSISU
52,2025-09-27 10:03:22,35,MAIDNRU
53,2025-09-27 10:03:23,36,MISISU
54,2025-09-27 10:03:23,37,MISU
55,2025-09-27 10:03:23,38,HUSISU
56,2025-09-27 10:03:24,39,WSN
57,2025-09-27 10:03:24,40,MEIU
58,2025-09-27 10:03:24,41,HISISU
59,2025-09-27 10:03:25,42,MISISU
60,2025-09-27 10:03:25,43,MISIVSU
61,2025-09-27 10:03:25,44,MESIVSU
62,2025-09-27 10:03:26,45,WIU
63,2025-09-27 10:03:26,46,MSINSU
64,2025-09-27 10:03:27,47,WISU
65,2025-09-27 10:03:27,48,MSIUSU
66,2025-09-27 10:03:28,49,LSITSUT
67,2025-09-27 10:03:28,50,HSIUSU
68,2025-09-27 10:03:29,51,LSIUSU
69,2025-09-27 10:03:29,52,WISIU
70,2025-09-27 10:03:30,53,ISISU
71,2025-09-27 10:03:30,54,CHI
72,2025-09-27 10:03:31,55,MISIUSU
73,2025-09-27 10:03:31,56,ISISU
74,2025-09-27 10:03:32,57,LSIVSU
75,2025-09-27 10:03:33,58,MSIUSU
76,2025-09-27 10:03:33,59,CHI
77,2025-09-27 10:03:33,60,MSIUSU
78,2025-09-27 10:03:34,61,L
79,2025-09-27 10:03:34,62,L
80,2025-09-27 10:03:34,63,WSIVSU
81,2025-09-27 10:03:35,64,WIVSUF
82,2025-09-27 10:03:35,64,G0J
83,2025-09-27 10:03:35,65,L
84,2025-09-27 10:03:36,66,LUSIVSU
85,2025-09-27 10:03:36,67,LUSIVSU
86,2025-09-27 10:03:36,68,LUSIVSU
87,2025-09-27 10:03:37,69,LUSISU
88,2025-09-27 10:03:37,70,HVSIVSU
89,2025-09-27 10:03:37,71,LUSIVSU
90,2025-09-27 10:03:38,72,HVSU
91,2025-09-27 10:03:38,73,LVSIVSU
92,2025-09-27 10:03:39,80,G0J
93,2025-09-27 10:03:40,81,GX0J
94,2025-09-27 10:03:40,82,G0GJ
95,2025-09-27 10:03:40,83,GXIOGJ
96,2025-09-27 10:03:41,84,G0GJ
97,2025-09-27 10:03:41,85,GX0GJ
98,2025-09-27 10:03:42,87,GX0GJ
99,2025-09-27 10:03:42,88,GX0GJ
100,2025-09-27 10:03:43,89,GX0GJ
101,2025-09-27 10:03:44,95,GXIOGJ
102,2025-09-27 10:03:45,96,GXOCJ
103,2025-09-27 10:03:45,97,GXOCJ
104,2025-09-27 10:03:45,98,GXOGJ
105,2025-09-27 10:03:46,99,G0GJ
106,2025-09-27 10:03:46,100,GXOGJ
107,2025-09-27 10:03:46,101,GX0GJ
108,2025-09-27 10:03:47,104,GOGJ
109,2025-09-27 10:03:47,105,GOGJ
110,2025-09-27 10:03:48,106,GXIOGJ
111,2025-09-27 10:03:48,107,GXOGJ
112,2025-09-27 10:03:48,108,GXI0GJ
113,2025-09-27 10:03:49,109,GXIOGJ
114,2025-09-27 10:03:49,110,GXOCJ
115,2025-09-27 10:03:49,111,GX0GJ
116,2025-09-27 10:03:50,116,GXIOGJ
117,2025-09-27 10:03:51,123,GOGJ
118,2025-09-27 10:03:52,124,G5OGJ
119,2025-09-27 10:03:52,125,GOGJ
120,2025-09-27 10:03:53,126,C
121,2025-09-27 10:03:53,126,GOCJ
122,2025-09-27 10:03:53,127,GOGJ
123,2025-09-27 10:03:53,128,LJWV
124,2025-09-27 10:03:54,129,LWCV
125,2025-09-27 10:03:54,130,TV
126,2025-09-27 10:03:54,130,GOGJ
127,2025-09-27 10:03:55,131,LILVV
128,2025-09-27 10:03:55,131,5OGJ
129,2025-09-27 10:03:56,132,LICV
130,2025-09-27 10:03:56,132,150GJ
131,2025-09-27 10:03:57,133,LIV
132,2025-09-27 10:03:57,133,M
133,2025-09-27 10:03:57,134,LVV
134,2025-09-27 10:03:58,134,6OGJ
135,2025-09-27 10:03:58,135,5OGJ
136,2025-09-27 10:03:58,135,LWIWCV
137,2025-09-27 10:03:59,136,5OGJ
138,2025-09-27 10:03:59,136,LMIWCV
139,2025-09-27 10:03:59,137,LIICV
140,2025-09-27 10:04:00,138,LI
141,2025-09-27 10:04:00,139,LIM
142,2025-09-27 10:04:00,139,N5J
143,2025-09-27 10:04:01,144,L
144,2025-09-27 10:04:01,145,K
145,2025-09-27 10:04:02,148,A
146,2025-09-27 10:04:02,150,L
147,2025-09-27 10:04:03,151,L
148,2025-09-27 10:04:03,152,K0
149,2025-09-27 10:04:03,152,AJ
150,2025-09-27 10:04:03,153,L
151,2025-09-27 10:04:04,155,K
152,2025-09-27 10:04:04,156,L
153,2025-09-27 10:04:04,156,AJ
154,2025-09-27 10:04:05,157,AJ
155,2025-09-27 10:04:05,157,LIZ
156,2025-09-27 10:04:05,158,AJ
157,2025-09-27 10:04:06,158,LI
158,2025-09-27 10:04:06,160,K0528
159,2025-09-27 10:04:07,161,KR0525
160,2025-09-27 10:04:07,161,L25J
161,2025-09-27 10:04:07,162,KR052X
162,2025-09-27 10:04:08,165,A5J
163,2025-09-27 10:04:09,166,WJE
164,2025-09-27 10:04:09,167,LSEK
165,2025-09-27 10:04:11,171,K2
166,2025-09-27 10:04:12,173,KS27
167,2025-09-27 10:04:13,174,AJ0
168,2025-09-27 10:04:13,174,KS2
169,2025-09-27 10:04:14,175,AJEO
170,2025-09-27 10:04:14,175,KHOSZA
171,2025-09-27 10:04:15,176,AJ
172,2025-09-27 10:04:16,176,K527
173,2025-09-27 10:04:17,178,AJ
174,2025-09-27 10:04:17,179,AJ
175,2025-09-27 10:04:18,180,K23
176,2025-09-27 10:04:19,180,AJ
177,2025-09-27 10:04:19,181,AJ
178,2025-09-27 10:04:20,181,K27
179,2025-09-27 10:04:21,182,AJ
180,2025-09-27 10:04:21,182,K2
181,2025-09-27 10:04:22,183,JQ
182,2025-09-27 10:04:22,183,KSZZK
183,2025-09-27 10:04:23,184,ISZK
184,2025-09-27 10:04:24,185,KHZZK
185,2025-09-27 10:04:24,186,AJQ
186,2025-09-27 10:04:26,187,AJEO
187,2025-09-27 10:04:26,187,KH2Z
188,2025-09-27 10:04:26,188,K52
189,2025-09-27 10:04:27,188,AJEQ
190,2025-09-27 10:04:27,189,AJEQ
191,2025-09-27 10:04:27,189,KZZK
192,2025-09-27 10:04:28,190,AJEQE
193,2025-09-27 10:04:28,190,KZK
194,2025-09-27 10:04:29,191,K
195,2025-09-27 10:04:29,192,COK
196,2025-09-27 10:04:29,193,AJEO
197,2025-09-27 10:04:29,193,K
198,2025-09-27 10:04:30,194,MJEQ
199,2025-09-27 10:04:30,195,K21K
200,2025-09-27 10:04:31,196,KZ1K
201,2025-09-27 10:04:31,197,K2K
202,2025-09-27 10:04:31,198,LZ
203,2025-09-27 10:04:32,199,LK
204,2025-09-27 10:04:32,199,LJEO
205,2025-09-27 10:04:32,200,L
206,2025-09-27 10:04:32,200,JL
207,2025-09-27 10:04:33,202,IJEO
208,2025-09-27 10:04:33,203,KH0S2ZK
209,2025-09-27 10:04:33,203,AJEO
210,2025-09-27 10:04:34,204,KH0S2ZK
211,2025-09-27 10:04:34,205,CHOSZK
212,2025-09-27 10:04:34,206,CZZK
213,2025-09-27 10:04:34,206,J
214,2025-09-27 10:04:35,207,K2ZK
215,2025-09-27 10:04:35,207,AJQ
216,2025-09-27 10:04:35,208,ZZK
217,2025-09-27 10:04:35,208,J
218,2025-09-27 10:04:36,209,KSZZK
219,2025-09-27 10:04:36,210,KZZK
220,2025-09-27 10:04:36,210,WJEO
221,2025-09-27 10:04:37,211,CK
222,2025-09-27 10:04:37,211,AJ
223,2025-09-27 10:04:37,212,AJEO
224,2025-09-27 10:04:37,212,CHSEK
225,2025-09-27 10:04:38,213,CZK
226,2025-09-27 10:04:38,213,AJQ
227,2025-09-27 10:04:38,214,KZZK
228,2025-09-27 10:04:39,214,WJEO
229,2025-09-27 10:04:39,215,ZJQ
230,2025-09-27 10:04:39,215,KHSZZK
231,2025-09-27 10:04:40,216,AJE
232,2025-09-27 10:04:40,216,CZZK
233,2025-09-27 10:04:41,217,TZK
234,2025-09-27 10:04:41,217,AJEO
235,2025-09-27 10:04:42,218,KHOSZZK
236,2025-09-27 10:04:42,218,AJ
237,2025-09-27 10:04:42,219,CHZK
238,2025-09-27 10:04:43,219,AJO
239,2025-09-27 10:04:43,220,KZK
240,2025-09-27 10:04:43,221,LZIK
241,2025-09-27 10:04:44,222,KZIK
242,2025-09-27 10:04:44,223,LZZK
243,2025-09-27 10:04:44,224,KZIK
244,2025-09-27 10:04:45,225,KZIK
245,2025-09-27 10:04:45,226,C24
246,2025-09-27 10:04:46,227,K02
247,2025-09-27 10:04:46,228,K2
248,2025-09-27 10:04:46,229,CH
249,2025-09-27 10:04:47,230,L52
250,2025-09-27 10:04:47,231,L4052
251,2025-09-27 10:04:47,232,L2
252,2025-09-27 10:04:48,233,LZZK
253,2025-09-27 10:04:48,234,LZZK
254,2025-09-27 10:04:49,235,LZ6
255,2025-09-27 10:04:49,236,LHOEZZK
256,2025-09-27 10:04:49,237,MHL
257,2025-09-27 10:04:50,238,MH
258,2025-09-27 10:04:50,239,HAL
259,2025-09-27 10:04:50,240,L5ZZK
260,2025-09-27 10:04:51,241,KZK
261,2025-09-27 10:04:51,242,KZIK
262,2025-09-27 10:04:52,243,KZZK
263,2025-09-27 10:04:52,244,R5ZZK
